time,state,car_sales
2015-05-01,NSW,30 996
2015-05-01,VIC,25 231
2015-05-01,QLD,19 312
2015-05-01,SA,5 429
2015-05-01,WA,8 353
2015-05-01,TAS,1 440
2015-05-01,NT,1 144
2015-05-01,ACT,1 422
2015-06-01,NSW,42 105
2015-06-01,VIC,32 615
2015-06-01,QLD,27 270
2015-06-01,SA,7 286
2015-06-01,WA,11 503
2015-06-01,TAS,1 989
2015-06-01,NT,1 189
2015-06-01,ACT,1 893
2015-07-01,NSW,30 332
2015-07-01,VIC,25 902
2015-07-01,QLD,18 700
2015-07-01,SA,5 256
2015-07-01,WA,8 341
2015-07-01,TAS,1 445
2015-07-01,NT,836
2015-07-01,ACT,1 496
2015-08-01,NSW,30 529
2015-08-01,VIC,24 608
2015-08-01,QLD,18 183
2015-08-01,SA,5 088
2015-08-01,WA,8 371
2015-08-01,TAS,1 710
2015-08-01,NT,767
2015-08-01,ACT,1 449
2015-09-01,NSW,33 983
2015-09-01,VIC,27 675
2015-09-01,QLD,20 387
2015-09-01,SA,5 859
2015-09-01,WA,9 009
2015-09-01,TAS,2 090
2015-09-01,NT,785
2015-09-01,ACT,1 604
2015-10-01,NSW,31 196
2015-10-01,VIC,26 503
2015-10-01,QLD,18 246
2015-10-01,SA,5 825
2015-10-01,WA,8 534
2015-10-01,TAS,1 719
2015-10-01,NT,785
2015-10-01,ACT,1 513
2015-11-01,NSW,33 176
2015-11-01,VIC,27 421
2015-11-01,QLD,19 249
2015-11-01,SA,6 019
2015-11-01,WA,8 724
2015-11-01,TAS,1 764
2015-11-01,NT,734
2015-11-01,ACT,1 552
2015-12-01,NSW,32 740
2015-12-01,VIC,27 785
2015-12-01,QLD,19 711
2015-12-01,SA,6 315
2015-12-01,WA,8 969
2015-12-01,TAS,1 913
2015-12-01,NT,733
2015-12-01,ACT,1 450
2016-01-01,NSW,28 392
2016-01-01,VIC,22 426
2016-01-01,QLD,17 193
2016-01-01,SA,5 208
2016-01-01,WA,7 861
2016-01-01,TAS,1 298
2016-01-01,NT,626
2016-01-01,ACT,1 369
2016-02-01,NSW,32 633
2016-02-01,VIC,26 782
2016-02-01,QLD,18 711
2016-02-01,SA,5 988
2016-02-01,WA,8 725
2016-02-01,TAS,1 319
2016-02-01,NT,851
2016-02-01,ACT,1 434
2016-03-01,NSW,35 963
2016-03-01,VIC,27 716
2016-03-01,QLD,21 470
2016-03-01,SA,6 087
2016-03-01,WA,9 054
2016-03-01,TAS,1 515
2016-03-01,NT,1 023
2016-03-01,ACT,1 684
2016-04-01,NSW,29 391
2016-04-01,VIC,23 963
2016-04-01,QLD,17 753
2016-04-01,SA,5 174
2016-04-01,WA,7 601
2016-04-01,TAS,1 313
2016-04-01,NT,969
2016-04-01,ACT,1 407
2016-05-01,NSW,32 867
2016-05-01,VIC,26 125
2016-05-01,QLD,19 565
2016-05-01,SA,5 949
2016-05-01,WA,7 935
2016-05-01,TAS,1 503
2016-05-01,NT,1 180
2016-05-01,ACT,1 548
2016-06-01,NSW,43 449
2016-06-01,VIC,34 262
2016-06-01,QLD,27 270
2016-06-01,SA,7 613
2016-06-01,WA,10 749
2016-06-01,TAS,1 853
2016-06-01,NT,1 240
2016-06-01,ACT,2 133
2016-07-01,NSW,30 219
2016-07-01,VIC,25 517
2016-07-01,QLD,18 445
2016-07-01,SA,5 210
2016-07-01,WA,8 234
2016-07-01,TAS,1 389
2016-07-01,NT,831
2016-07-01,ACT,1 486
2016-08-01,NSW,31 788
2016-08-01,VIC,27 096
2016-08-01,QLD,18 062
2016-08-01,SA,5 785
2016-08-01,WA,8 144
2016-08-01,TAS,1 743
2016-08-01,NT,881
2016-08-01,ACT,1 410
2016-09-01,NSW,34 424
2016-09-01,VIC,28 766
2016-09-01,QLD,19 702
2016-09-01,SA,6 551
2016-09-01,WA,8 668
2016-09-01,TAS,2 074
2016-09-01,NT,880
2016-09-01,ACT,1 631
2016-10-01,NSW,31 850
2016-10-01,VIC,27 546
2016-10-01,QLD,16 870
2016-10-01,SA,5 450
2016-10-01,WA,7 580
2016-10-01,TAS,1 937
2016-10-01,NT,713
2016-10-01,ACT,1 411
2016-11-01,NSW,32 955
2016-11-01,VIC,28 991
2016-11-01,QLD,18 733
2016-11-01,SA,6 259
2016-11-01,WA,7 657
2016-11-01,TAS,1 903
2016-11-01,NT,808
2016-11-01,ACT,1 631
2016-12-01,NSW,33 632
2016-12-01,VIC,27 065
2016-12-01,QLD,19 252
2016-12-01,SA,6 464
2016-12-01,WA,8 026
2016-12-01,TAS,1 918
2016-12-01,NT,734
2016-12-01,ACT,1 672
2017-01-01,NSW,29 068
2017-01-01,VIC,24 535
2017-01-01,QLD,15 709
2017-01-01,SA,5 134
2017-01-01,WA,7 037
2017-01-01,TAS,1 337
2017-01-01,NT,652
2017-01-01,ACT,1 438
2017-02-01,NSW,30 221
2017-02-01,VIC,24 917
2017-02-01,QLD,17 474
2017-02-01,SA,5 354
2017-02-01,WA,7 526
2017-02-01,TAS,1 334
2017-02-01,NT,760
2017-02-01,ACT,1 439
2017-03-01,NSW,35 677
2017-03-01,VIC,29 252
2017-03-01,QLD,21 217
2017-03-01,SA,6 387
2017-03-01,WA,8 712
2017-03-01,TAS,1 536
2017-03-01,NT,946
2017-03-01,ACT,1 683
2017-04-01,NSW,28 565
2017-04-01,VIC,23 292
2017-04-01,QLD,16 312
2017-04-01,SA,4 951
2017-04-01,WA,6 634
2017-04-01,TAS,1 214
2017-04-01,NT,910
2017-04-01,ACT,1 257
2017-05-01,NSW,34 545
2017-05-01,VIC,29 077
2017-05-01,QLD,20 674
2017-05-01,SA,6 133
2017-05-01,WA,8 154
2017-05-01,TAS,1 540
2017-05-01,NT,1 276
2017-05-01,ACT,1 502
2017-06-01,NSW,44 341
2017-06-01,VIC,37 255
2017-06-01,QLD,28 768
2017-06-01,SA,8 213
2017-06-01,WA,10 161
2017-06-01,TAS,1 953
2017-06-01,NT,1 333
2017-06-01,ACT,2 147
2017-07-01,NSW,30 620
2017-07-01,VIC,26 584
2017-07-01,QLD,18 540
2017-07-01,SA,5 663
2017-07-01,WA,7 576
2017-07-01,TAS,1 376
2017-07-01,NT,914
2017-07-01,ACT,1 481
2017-08-01,NSW,32 137
2017-08-01,VIC,27 569
2017-08-01,QLD,18 695
2017-08-01,SA,5 790
2017-08-01,WA,8 487
2017-08-01,TAS,1 538
2017-08-01,NT,904
2017-08-01,ACT,1 542
2017-09-01,NSW,34 168
2017-09-01,VIC,28 096
2017-09-01,QLD,19 175
2017-09-01,SA,6 029
2017-09-01,WA,8 401
2017-09-01,TAS,2 016
2017-09-01,NT,821
2017-09-01,ACT,1 494
2017-10-01,NSW,31 454
2017-10-01,VIC,28 098
2017-10-01,QLD,17 860
2017-10-01,SA,5 831
